enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
475,21,21.6494998932,91.5464019775,53,621.4000244141,0.111578948796,4542.1049804688,22.6190471649,9.6300001144,16.2105255127,619.9000244141,622.9000244141
2538,130.5,18.9111003876,70.8167037964,169,621.75,0.0665878653526,5107.0864257812,19.4482765198,7.4050002098,45.0748634338,622.9000244141,620.5999755859
476,19,43.8558998108,100,0,622.0500488281,0,4659.6616210938,25.0526313782,9.6300001144,39.075630188,620.700012207,623.4000244141
2357,114,16.8010005951,90.6237030029,216,622.5999755859,0.0916419178247,4555.4643554688,20.6754379272,8.0190000534,76.6652526855,619.5,625.700012207
1588,85,22.4071998596,85.1472015381,198,623.0999755859,0.124685138464,5415.1528320312,18.682352066,8.5229997635,40.4911842346,625,621.200012207
7306,319.799987793,17.001499176,88.0348968506,742,623.200012207,0.101560361683,4997.8715820312,22.8455295563,7.9831814766,73.7202301025,620.4000244141,626
2601,135,15.071100235,92.1952972412,269,623.450012207,0.103421762586,5223.912109375,19.2666664124,7.3049998283,70.0115356445,616.5,630.4000244141
847,44,16.2928009033,90.2006988525,67,623.5999755859,0.07910271734,5139.1645507812,19.25,8.9340000153,55.9622154236,620.0999755859,627.0999755859
452,22,14.4989004135,81.0234985352,55,624.1500244141,0.121681414545,4614.251953125,20.5454540253,8.5539999008,11.0619468689,627.9000244141,620.4000244141
4142,201,35.5625,81.5065002441,569,624.5500488281,0.137373253703,5342.2333984375,20.6069660187,6.6129999161,80.4200897217,620.4000244141,628.700012207
2102,99.75,15.319899559,90.2848968506,224,624.950012207,0.106565177441,5347.4584960938,21.072681427,12.4090003967,63.130355835,623,626.9000244141
10012,464.8999938965,29.7639007568,91.5933990479,721,625.299987793,0.0720135867596,5036.458984375,21.5358142853,8.1266155243,65.1218566895,620.799987793,629.799987793
2488,125,12.6920003891,55.0929985046,202,625.8499755859,0.0811897069216,5117.1416015625,19.9039993286,11.4309997559,53.4164009094,626.0999755859,625.5999755859
25151,1186.6999511719,17.4426002502,80.195602417,1713,626.0999755859,0.06810862571,5117.0395507812,21.1940689087,11.7222251892,49.8230705261,625.4000244141,626.799987793
2267,103.6800003052,19.1516990662,84.4337997437,177,626.8000488281,0.0780767500401,5272.1918945312,21.865354538,11.3325004578,35.4653701782,625.4000244141,628.200012207
1657,90.4000015259,28.8472995758,84.7313995361,204,626.9000244141,0.123114064336,5225.7192382812,18.3296451569,9.5979995728,56.1255264282,623.5999755859,630.200012207
284,17.5,14.5270004272,94.9324035645,18,627.0999755859,0.0633802786469,6516.533203125,16.2285709381,14.5579996109,32.394367218,628.9000244141,625.299987793
5370,280,19.5716991425,81.1173019409,562,627.25,0.104655496776,4559.1767578125,19.178571701,22.0599994659,65.5121002197,624.4000244141,630.0999755859
2471,121.8600006104,23.795999527,87.7781982422,275,627.299987793,0.111290976405,5119.158203125,20.2773666382,9.7089996338,53.0554428101,627.5,627.0999755859
15386,669.3599853516,12.5064001083,71.4330978394,1762,628.25,0.114519692957,5338.185546875,22.9861373901,11.4829444885,49.6425323486,627.799987793,628.700012207
184,9,22.2826004028,85.8695983887,40,628.4000244141,0.217391297221,5090.044921875,20.4444446564,8.1780004501,45.1086959839,621.5999755859,635.200012207
1217,61.4000015259,33.908000946,88.095199585,78,628.5500488281,0.0640920326114,5485.49609375,19.8208465576,8.1739997864,30.3204593658,629.4000244141,627.700012207
6219,268,21.4986000061,100,571,628.6500244141,0.0918154045939,4793.3701171875,23.2052230835,7.5,52.2431259155,621.0999755859,636.200012207
4258,221,24.6595001221,92.7431030273,324,628.75,0.0760920643806,5092.9174804688,19.2669677734,10.0504999161,36.8013153076,626.5,631
1235,53,8.21829986572,62.1301994324,175,629.8000488281,0.141700401902,4359.5209960938,23.3018875122,7.3319997787,30.2833995819,630.200012207,629.4000244141
16244,766.6500244141,17.4531002045,69.7398986816,1423,630.3499755859,0.0876015722752,5645.4956054688,21.1882858276,12.581577301,49.864566803,629.5,631.200012207
814,39,19.7789001465,67.4447021484,85,630.4000244141,0.104422606528,4518.0161132812,20.8717956543,15.1770000458,13.7592134476,631.9000244141,628.9000244141
27176,1429,39.2183990479,84.2949981689,3324,630.549987793,0.122313804924,5864.3662109375,19.0174942017,12.1091279984,28.8637046814,631.5999755859,629.5
10696,487.9700012207,22.1578006744,70.8956985474,1306,630.549987793,0.122101716697,5257.9965820312,21.919380188,11.7849998474,52.8047866821,628.5,632.5999755859
8935,444.5,36.945098877,79.5120010376,786,631.0500488281,0.0879686623812,5016.6923828125,20.1012382507,14.0620002747,44.0850601196,628.4000244141,633.700012207
1600,74.5,27.2614002228,79.7255020142,242,631.4000244141,0.151250004768,4720.0864257812,21.4765110016,10.4720001221,35.25,635.700012207,627.0999755859
9028,449.9200134277,13.9884996414,69.9424972534,669,631.8499755859,0.0741027891636,5470.5625,20.065788269,13.4051170349,37.4944610596,633,630.700012207
10625,521.4699707031,7.49749994278,77.5255966187,896,631.9000244141,0.0843294113874,5615.4418945312,20.3750953674,12.3017997742,50.3905906677,629.5999755859,634.200012207
7151,318.5799865723,18.5480995178,61.7382011414,560,631.950012207,0.0783107280731,5245.4399414062,22.4464817047,15.4040708542,31.0725784302,634.200012207,629.700012207
2404,105,20.927400589,52.9435005188,202,632,0.084026619792,4838.1752929688,22.8952388763,13.7620000839,18.2612323761,633.5,630.5
5804,283.1499938965,28.3425006866,81.1165008545,480,632.200012207,0.0827015861869,5367.98828125,20.4979705811,14.1840000153,34.7002067566,631.4000244141,633
2253,112.6500015259,43.4976005554,84.5539016724,196,632.25,0.0869951173663,5526.2368164062,20,8.8649997711,33.2889480591,637.5,627
2807,126.1200027466,15.4595003128,52.3964004517,152,632.4499511719,0.054150339216,4353.01953125,22.2565803528,12.9969997406,33.4877090454,637.299987793,627.5999755859
3074,142.5500030518,11.2897996902,66.1949005127,249,632.8499755859,0.0810019522905,5034.2900390625,21.5643634796,11.5920000076,38.1587524414,633.200012207,632.5
723,37.1199989319,25.9211006165,83.1578979492,45,632.950012207,0.0622406639159,4692.4936523438,19.4773712158,8.2790002823,36.9294624329,629.200012207,636.700012207
5138,290.7749938965,58.7522010803,84.9990005493,560,633.049987793,0.10899182409,5606.7817382812,17.6700210571,10.9056425095,32.989490509,630.299987793,635.799987793
20927,953.5,10.9113998413,82.3926010132,1048,633.1500244141,0.0500788465142,4969.1806640625,21.947561264,13.4006252289,58.2166557312,629.5999755859,636.700012207
3017,138.5,14.9767999649,56.0635986328,496,633.6500244141,0.164401724935,4675.6748046875,21.7833938599,11.0810003281,17.0036468506,634.4000244141,632.9000244141
957,50,27.1681995392,82.1316986084,149,633.9000244141,0.155694887042,5306.1328125,19.1399993896,9.0819997787,17.6593532562,634.700012207,633.0999755859
1639,90.5,46.8881988525,80.6042022705,287,634,0.175106778741,5693.8833007812,18.110496521,13.3900003433,7.32153749466,638.4000244141,629.5999755859
4340,209.8399963379,17.7026004791,93.9226989746,284,634.0500488281,0.0654377862811,5181.5795898438,20.6824245453,14.6016254425,31.1981563568,631.9000244141,636.200012207
5079,224.5,25.559299469,63.8036003113,585,634.0999755859,0.115180157125,5228.6508789062,22.6236076355,11.1160001755,16.6174449921,637.700012207,630.5
6639,304.7300109863,26.8414001465,100,505,634.0999755859,0.0760656744242,5339.3911132812,21.7864990234,8.4230003357,58.081035614,631.5,636.700012207
1154,62.0999984741,22.9277000427,84.9206008911,129,634.1500244141,0.11178509891,6056.4970703125,18.5829315186,11.6649999619,55.8925437927,636.799987793,631.5
237,11,19.831199646,76.7931976318,13,634.1999511719,0.054852321744,4845.6801757812,21.5454540253,7.3049998283,5.48523235321,631.799987793,636.5999755859
2987,141.2100067139,21.2588005066,68.3964004517,273,634.4000244141,0.091396048665,4826.666015625,21.1528911591,13.7305994034,14.4291934967,637.700012207,631.0999755859
499,30,40.3670005798,83.1193008423,94,634.549987793,0.188376754522,5367.0903320312,16.6333332062,11.1160001755,22.8456916809,635.5,633.5999755859
11474,542.6500244141,40.5526008606,77.0089035034,1248,634.700012207,0.108767651021,5742.7329101562,21.1443824768,10.3644285202,38.7833366394,633.200012207,636.200012207
1088,55,14.1543998718,86.0294036865,107,634.9000244141,0.0983455851674,4136.2509765625,19.7818183899,6.9829998016,64.2463226318,631.0999755859,638.700012207
2660,140.1199951172,15.7601003647,74.8509979248,259,634.9499511719,0.0973684191704,5267.8310546875,18.9837284088,14.4678001404,25.2255649567,637.799987793,632.0999755859
353,19.9799995422,8.67210006714,33.0623016357,8,635.049987793,0.0226628892124,5238.3920898438,17.6676673889,14.6529998779,5.38243627548,636.5999755859,633.5
329,18.5300006866,28.9157009125,85.5421981812,37,635.1999511719,0.112462006509,5462.8994140625,17.7549915314,10.6289997101,6.07902765274,644.299987793,626.0999755859
252,16.5,23.4568004608,66.2550964355,32,635.450012207,0.126984134316,6313.3735351562,15.2727270126,9.7810001373,0,640.9000244141,630
175,12.5,21.7646999359,68.8235015869,31,635.5999755859,0.177142858505,6653.0307617188,14,10.6560001373,0,634.5999755859,636.5999755859
3835,186.1999969482,13.9911003113,72.8628005981,897,635.5999755859,0.233898311853,5533.1494140625,20.5961341858,11.9379997253,34.8891792297,633,638.200012207
314,19.25,29.9363002777,93.6305999756,8,635.75,0.025477707386,6118.7104492188,16.3116874695,7.3850002289,13.0573244095,636.700012207,634.799987793
4458,211,22.2222003937,72.3208007812,445,635.950012207,0.0998205468059,5098.626953125,21.1279621124,10.6759996414,36.0251235962,633.200012207,638.700012207
1313,75.0800018311,32.0867996216,73.5976028442,112,636.0999755859,0.0853008404374,5652.87890625,17.4880123138,9.9720001221,34.653465271,633.9000244141,638.299987793
474,26.5,21.5189990997,75.7384033203,36,636.5,0.0759493634105,5329.0024414062,17.8867931366,8.2580003738,28.6919822693,634.700012207,638.299987793
1114,57.7000007629,29.4468002319,62.2127990723,277,636.5999755859,0.248653501272,5929.8090820312,19.3067588806,8.8959999084,1.79533219337,645.4000244141,627.799987793
1358,65,14.7903003693,80.8683013916,178,636.6999511719,0.131075114012,4897.0678710938,20.8923072815,12.0620002747,30.6332855225,632.299987793,641.0999755859
11629,546.299987793,25.3794002533,83.8737030029,1015,636.9000244141,0.0872817933559,5100.2021484375,21.2868385315,9.4288949966,59.033454895,632.4000244141,641.4000244141
6195,306.75,21.0433006287,68.5718994141,1261,636.950012207,0.203551247716,4825.72265625,20.1955986023,8.9203329086,13.5593223572,636.200012207,637.700012207
499,20,23.6993999481,80.9248962402,35,637,0.0701402798295,4079.1291503906,24.9500007629,10.0979995728,5.01001977921,636.0999755859,637.9000244141
417,23,19.9041004181,46.0432014465,27,637.0999755859,0.064748197794,5349.3676757812,18.1304340363,11.8299999237,0.959232628345,638,636.200012207
300,15,48.3443984985,72.1854019165,55,637.3499755859,0.183333337307,5869.3891601562,20,11.5530004501,0.666666686535,640.9000244141,633.799987793
457,24.3999996185,16.8160991669,67.7129974365,50,637.6500244141,0.109409190714,6462.1279296875,18.7295093536,19.7070007324,38.5120353699,644.9000244141,630.4000244141
146,8,25.3425006866,54.1096000671,34,637.9499511719,0.232876718044,6231.6015625,18.25,7.1050000191,0,646.0999755859,629.799987793
460,24.2199993134,10.5931997299,66.9492034912,71,637.950012207,0.15434782207,4993.8676757812,18.9925689697,13.7250003815,17.1739139557,633.200012207,642.700012207
354,17.7999992371,10.2777996063,59.7221984863,28,638,0.0790960416198,4663.8110351562,19.8876419067,10.0979995728,9.88700580597,636.700012207,639.299987793
1841,95,25.2579994202,64.7473983765,315,638.200012207,0.171102657914,6107.1064453125,19.3789482117,13.7620000839,19.3916358948,640.4000244141,636
3760,183.75,26.901599884,65.7960968018,717,638.3000488281,0.190691486001,5324.2280273438,20.4625854492,9.6649999619,36.4893608093,636.200012207,640.4000244141
500,22.4300003052,18.7999992371,83,70,638.3000488281,0.140000000596,5221.4609375,22.2915725708,10.263999939,39.3999977112,630.4000244141,646.200012207
5112,246.8999938965,10.6912002563,59.7234992981,383,638.3499755859,0.0749217495322,5157.7846679688,20.7047386169,11.5692005157,28.6776218414,638.5999755859,638.0999755859
146,7.6599998474,13.6985998154,66.4384002686,28,638.549987793,0.191780820489,5131.119140625,19.0600528717,7.4050002098,13.6986303329,637.5,639.5999755859
2141,105.8199996948,26.4965000153,65.3827972412,134,638.700012207,0.0625875741243,5279.3540039062,20.2324695587,12.0769996643,11.3498363495,636.9000244141,640.5
610,30.9799995422,8.52460002899,56.0656013489,144,639.25,0.23606556654,4704.0439453125,19.6901226044,11.2829999924,3.44262313843,640.299987793,638.200012207
337,16.5499992371,21.2625007629,60.132900238,26,639.3000488281,0.0771513357759,6089.9106445312,20.3625392914,10.0349998474,15.430267334,642.700012207,635.9000244141
4501,227.8500061035,19.129699707,63.9054985046,597,639.3499755859,0.132637187839,5356.8334960938,19.7542228699,8.3839998245,17.973783493,639.9000244141,638.799987793
5718,295.049987793,6.84070014954,37.0456008911,313,639.5,0.0547394193709,5144.5493164062,19.3797664642,13.6300001144,22.7177333832,641.4000244141,637.5999755859
19402,846.3800048828,20.5237007141,51.242099762,1182,639.75,0.0609215535223,4906.2299804688,22.9235095978,14.1276674271,18.4362449646,641.700012207,637.799987793
3401,175.5500030518,52.2198982239,74.2723007202,560,639.799987793,0.164657458663,5489.5888671875,19.3733978271,11.2661247253,16.1717147827,641.5,638.0999755859
2621,136.8300018311,25.8297996521,64.0977020264,397,639.8499755859,0.151468902826,5718.5512695312,19.1551551819,13.3900003433,2.02212882042,641.4000244141,638.299987793
426,20,3.9906001091,64.7886962891,87,639.9000244141,0.204225346446,4436.1528320312,21.2999992371,11.9379997253,9.6244134903,634.299987793,645.5
205,11.1999998093,18.5366001129,80.9756011963,24,640.0999755859,0.117073170841,4895.439453125,18.303571701,8.2580003738,41.4634132385,643.5,636.700012207
13668,648.4099731445,28.1753005981,56.2994003296,1321,640.1500244141,0.0966491103172,5159.21875,21.0792560577,14.2267274857,9.89903450012,640.4000244141,639.9000244141
342,18.2000007629,11.3959999084,68.0912017822,98,640.5,0.286549717188,5490.6547851562,18.7912082672,10.4720001221,16.0818710327,637.700012207,643.299987793
6518,332.1000061035,12.2791004181,71.0238037109,499,640.75,0.0765572264791,5172.01953125,19.6266174316,14.2429008484,43.4949378967,638.5,643
239,12.1999998093,15.6118001938,69.620300293,30,640.9000244141,0.125523015857,4441.6728515625,19.5901641846,14.0659999847,8.78661060333,644.9000244141,636.9000244141
2911,139.4700012207,11.9285001755,52.9734992981,281,641.0999755859,0.0965304002166,5220.3701171875,20.8718719482,15.968000412,39.0243873596,640.4000244141,641.799987793
6272,297.0400085449,28.7199993134,71.7623977661,1338,641.4499511719,0.213329076767,5252.810546875,21.1150016785,10.263999939,53.8903045654,639.299987793,643.5999755859
10218,508.75,17.4202003479,70.8063964844,1435,641.4499511719,0.140438437462,5518.7021484375,20.08452034,10.6024703979,41.1332931519,638.5999755859,644.299987793
1735,87.1399993896,47.2621994019,75.5043029785,222,641.549987793,0.127953886986,5609.4877929688,19.9104881287,10.5229997635,1.38328528404,640.799987793,642.299987793
474,26.6100006104,20.6751003265,82.0674972534,96,641.8000488281,0.202531650662,4945.0317382812,17.8128509521,11.2379999161,35.4430389404,638.9000244141,644.700012207
544,30,20.5505008698,74.8623962402,145,642.1999511719,0.266544103622,5223.025390625,18.1333332062,10.0559997559,8.63970565796,641.799987793,642.5999755859
1987,103.3700027466,15.2812004089,54.6540985107,283,642.200012207,0.142425760627,4757.025390625,19.2222118378,11.1829996109,15.3497743607,637,647.4000244141
418,22.3999996185,10.6964998245,63.432800293,50,642.4000244141,0.11961722374,5522.1616210938,18.6607151031,7.3850002289,19.8564586639,640.200012207,644.5999755859
196,10,19.6891002655,47.1502990723,40,642.75,0.204081639647,6087.6088867188,19.6000003815,13.579000473,3.0612244606,652.5999755859,632.9000244141
2208,114.5,14.4139995575,53.2106018066,92,643.049987793,0.0416666679084,4960.515625,19.2838420868,9.6300001144,9.8731880188,642,644.0999755859
1255,55,11.3221998215,44.2597007751,165,643.1999511719,0.131474107504,4880.0405273438,22.8181819916,15.2740001678,16.0956172943,642.5999755859,643.799987793
1469,78.0999984741,20.9666004181,80.2586975098,65,643.25,0.0442477874458,6538.41796875,18.8092193604,14.0342502594,43.4989776611,639.4000244141,647.0999755859
7114,332.8399963379,34.5942001343,82.5721969604,680,643.4000244141,0.0955861657858,4925.6596679688,21.373632431,10.2396669388,45.0379524231,638.9000244141,647.9000244141
1962,98,24.4151000977,67.7518005371,170,643.4000244141,0.0866462811828,5204.6875,20.0204086304,9.4849996567,18.1957187653,641.700012207,645.0999755859
7761,361,6.49119997025,44.476600647,658,643.5,0.0847828909755,4907.4106445312,21.4986152649,15.0298748016,15.4876947403,644.200012207,642.799987793
216,14,9.41699981689,48.8788986206,47,643.5,0.217592597008,5923.4516601562,15.428571701,9.7810001373,0.925925910473,652.700012207,634.299987793
224,10,7.14289999008,58.0357017517,31,643.6999511719,0.138392850757,4741.95703125,22.3999996185,13.1920003891,7.58928585052,633.5999755859,653.799987793
7887,391.8599853516,16.4023990631,57.0722007751,1004,643.700012207,0.127298086882,4954.01953125,20.1270866394,12.2159996033,29.0858383179,645.700012207,641.700012207
752,39.5,11.7104997635,34.0788993835,0,644.1999511719,0,5500.1079101562,19.0379753113,14.0760002136,0.132978722453,652.299987793,636.0999755859
9328,537.8800048828,7.48750019073,39.0368003845,1719,644.200012207,0.18428388238,5360.5170898438,17.3421573639,25.4873332977,50.8576316833,644.5,643.9000244141
548,32.2000007629,7.6641998291,31.3868999481,35,644.4000244141,0.063868612051,5685.6391601562,17.0186328888,14.8669996262,11.4963502884,652.0999755859,636.700012207
104,5,32.3810005188,49.5237998962,19,644.450012207,0.182692304254,5594.1962890625,20.7999992371,9.9720001221,13.4615392685,649.5,639.4000244141
275,13,12.7272996902,45.8181991577,4,644.450012207,0.0145454546437,4692.5668945312,21.1538467407,14.5780000687,4.72727251053,643.200012207,645.700012207
443,24,14.2211999893,69.9774017334,52,644.5,0.117381490767,5085.40625,18.4583339691,7.3850002289,21.444694519,644.299987793,644.700012207
10337,540.049987793,37.2268981934,58.5453987122,1268,644.549987793,0.122666150331,5456.197265625,19.1408214569,12.343000412,12.3536806107,646,643.0999755859
806,41.5299987793,7.17880010605,56.6750984192,36,644.6999511719,0.0446650125086,5105.1796875,19.4076576233,12.4313325882,30.1488838196,645.299987793,644.0999755859
227,11.6000003815,18.0617008209,59.0307998657,25,644.950012207,0.110132157803,5519.6772460938,19.5689640045,14.9060001373,15.8590297699,649.700012207,640.200012207
8416,391.4200134277,12.3990001678,71.9121017456,1333,645.0999755859,0.158388778567,5065.9111328125,21.5011997223,12.6698999405,43.75,642.9000244141,647.299987793
149,8.5,19.4631004333,59.0603981018,30,645.25,0.201342284679,5182.4282226562,17.5294113159,10.3330001831,0,656.799987793,633.700012207
220,13.3900003433,19.130399704,52.1739006042,48,645.549987793,0.218181818724,5960.4643554688,16.4301719666,11.9720001221,0,658,633.0999755859
4612,232.9700012207,17.4761009216,65.9150009155,601,645.5500488281,0.130312234163,5124.8364257812,19.7965393066,12.8269996643,16.6522121429,647.700012207,643.4000244141
590,34.3300018311,37.4367980957,70.657699585,71,645.5999755859,0.120338983834,5655.1333007812,17.1861343384,10.0399999619,3.22033905983,644.799987793,646.4000244141
133,7.5500001907,25,72.1428985596,25,645.75,0.187969923019,5811.6899414062,17.6158943176,13.3350000381,0,644.299987793,647.200012207
2440,121.2399978638,7.27589988708,47.0298995972,116,645.75,0.0475409850478,5467.673828125,20.125371933,9.8540000916,48.5245895386,645.5,646
133,6,11.1940002441,35.8208999634,0,646,0,5213.0893554688,22.1666660309,11.4259996414,0.751879692078,652.5,639.5
519,26,16.7630004883,37.9575996399,65,646.200012207,0.125240847468,4613.1875,19.9615383148,15.1309995651,1.92678236961,650.9000244141,641.5
222,11.6599998474,7.58930015564,40.625,30,646.3499755859,0.135135129094,4886.9838867188,19.0394515991,14.5780000687,13.5135126114,643,649.700012207
285,18.7199993134,26.6422996521,76.2773971558,36,646.4000244141,0.126315787435,6455.13671875,15.2243595123,10.267999649,0,641.5999755859,651.200012207
3129,147.9799957275,26.1676006317,55.7901000977,471,646.5,0.150527328253,5125.4331054688,21.1447505951,15.5928573608,16.7146053314,647.799987793,645.200012207
2019,102.7799987793,10.2525997162,40.5646018982,167,646.549987793,0.082714214921,5193.6923828125,19.6438999176,11.2379999161,5.94353628159,649.0999755859,644
5620,267,10.3094997406,55.0938987732,316,646.700012207,0.0562277585268,5002.8388671875,21.0486888885,15.0513753891,36.1743774414,644,649.4000244141
9775,484.5,13.0430002213,62.5038986206,1218,646.9000244141,0.124603576958,5337.6254882812,20.1754379272,15.4131765366,44.9718666077,645.5999755859,648.200012207
246,11.5,9.75609970093,43.9024009705,38,646.9499511719,0.154471546412,5161.2021484375,21.3913040161,11.0810003281,16.6666679382,647.799987793,646.0999755859
7210,360.3500061035,26.6268005371,68.8579025269,800,647.049987793,0.11095700413,5158.7919921875,20.0083255768,10.0979995728,15.1872396469,642.5,651.5999755859
21338,1051.5799560547,13.2271995544,45.9949989319,2889,647.25,0.135392263532,5123.4741210938,20.2913722992,14.2982997894,34.3377990723,645,649.5
477,27,25.3668994904,59.5387992859,27,647.299987793,0.0566037744284,5782.5439453125,17.6666660309,11.8030004501,0,650.799987793,643.799987793
727,39.9000015259,10.1787996292,32.1870994568,50,647.5999755859,0.0687757879496,4842.6079101562,18.2205505371,9.9720001221,13.0673999786,649.4000244141,645.799987793
374,18.4500007629,6.68450021744,7.48659992218,46,647.5999755859,0.122994653881,4219.40625,20.2710018158,15.4090003967,4.27807474136,651.5999755859,643.5999755859
18255,903.7600097656,11.2216997147,58.5331001282,2001,648,0.109613806009,5081.169921875,20.1989459991,15.2937994003,39.5946311951,645,651
8787,410.9100036621,10.0227003098,32.483001709,1058,648.200012207,0.120405144989,5144.9936523438,21.3842449188,15.5329284668,21.6683731079,648,648.4000244141
797,38,7.02629995346,35.7591018677,60,648.25,0.075282305479,4674.298828125,20.9736843109,16.2929992676,3.26223325729,648.799987793,647.700012207
140,7,3.57139992714,39.2857017517,40,648.3499755859,0.285714298487,4830.326171875,20,12.875,7.85714292526,651.5999755859,645.0999755859
235,13.6999998093,6.80849981308,67.2340011597,51,648.700012207,0.217021271586,5621.6879882812,17.1532840729,16.6229991913,39.5744667053,643.4000244141,654
8294,371.1000061035,23.1975002289,51.567401886,1295,648.9499511719,0.156136959791,4948.8681640625,22.3497714996,12.5498828888,10.1278028488,645.0999755859,652.799987793
2409,108.6600036621,8.15149974823,52.1202011108,354,649.1500244141,0.146948948503,5100.9755859375,22.1700706482,14.2585716248,27.5217914581,646,652.299987793
150,8.25,3.22580003738,23.2257995605,16,649.3000488281,0.10666666925,5132.7885742188,18.1818180084,18.3260002136,14,655.200012207,643.4000244141
3981,210,41.773399353,51.7709007263,606,649.5,0.152223065495,5358.5170898438,18.9571437836,12.7491426468,8.84200000763,649.799987793,649.200012207
2326,117.8000030518,17.9750995636,52.2523002625,345,649.6999511719,0.148323297501,5149.1865234375,19.7453308105,11.4259996414,6.40584659576,651.299987793,648.0999755859
501,30.5,20.6348991394,54.7619018555,163,649.8499755859,0.3253493011,5373.2065429688,16.4262294769,8.8299999237,2.39520978928,652.5999755859,647.0999755859
470,28.2700004578,31.330499649,89.6996002197,48,650.4499511719,0.102127656341,6485.166015625,16.6253967285,11.1759996414,5.957447052,655.0999755859,645.799987793
575,35.0999984741,26.4347991943,59.1304016113,59,650.549987793,0.102608695626,5504.025390625,16.3817672729,14.2279996872,8.17391300201,654.5999755859,646.5
3519,175.3000030518,5.54129981995,29.7812004089,789,650.5999755859,0.224211424589,5105.734375,20.0741577148,15.0270004272,15.4589366913,655.4000244141,645.799987793
474,26.3400001526,21.9958992004,54.9897994995,61,650.6500244141,0.128691986203,5634.7309570312,17.9954433441,10.5209999084,0,653.5999755859,647.700012207
223,11.5,1.75440001488,17.5438995361,60,650.9000244141,0.269058287144,4980.2944335938,19.3913040161,18.6259994507,0,651.799987793,650
92,5.5999999046,13.5417003632,0,22,650.9000244141,0.239130437374,6113.8598632812,16.428571701,22.5289993286,0,656.0999755859,645.700012207
4971,297.1400146484,14.709400177,55.1007995605,500,651.1500244141,0.100583381951,5850,16.7294864655,18.2983894348,31.8245830536,653.299987793,649
2617,107.1949996948,8.36820030212,32.3697013855,226,651.200012207,0.0863584280014,4547.9448242188,24.4134521484,11.8857498169,12.8009166718,651.700012207,650.700012207
